dms_orig,dms_dest,sctg2,dms_mode,thousand tons in 2017,thousand tons in 2018,thousand tons in 2019,thousand tons in 2020,thousand tons in 2021,thousand tons in 2022,thousand tons in 2023,thousand tons in 2024,thousand tons in 2030,thousand tons in 2030_low,thousand tons in 2030_high,thousand tons in 2035,thousand tons in 2035_low,thousand tons in 2035_high,thousand tons in 2040,thousand tons in 2040_low,thousand tons in 2040_high,thousand tons in 2045,thousand tons in 2045_low,thousand tons in 2045_high,thousand tons in 2050,thousand tons in 2050_low,thousand tons in 2050_high
223-New Orleans LA-MS (LA Part),55-Wisconsin,21-Pharmaceuticals,5-Multiple modes & mail,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0004,0.0003,0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0006,0.0006,0.0006
229-Rest of LA,01-Alabama,21-Pharmaceuticals,1-Truck,0.0372,0.0353,0.0361,0.037,0.039,0.0425,0.0441,0.0473,0.0608,0.0601,0.0669,0.0712,0.0695,0.0726,0.0832,0.0802,0.0844,0.0975,0.0929,0.0991,0.1133,0.1068,0.1155
229-Rest of LA,01-Alabama,21-Pharmaceuticals,5-Multiple modes & mail,0.0021,0.002,0.0021,0.0021,0.0022,0.0024,0.0025,0.0027,0.0037,0.0036,0.004,0.0043,0.0042,0.0044,0.0051,0.0049,0.0052,0.006,0.0057,0.0061,0.007,0.0066,0.0071
229-Rest of LA,05-Arkansas,21-Pharmaceuticals,1-Truck,0.0141,0.0134,0.0137,0.014,0.0148,0.0161,0.0167,0.0179,0.0246,0.024,0.0271,0.0291,0.0276,0.0295,0.0343,0.0311,0.035,0.0404,0.0351,0.0413,0.0471,0.0392,0.0485
229-Rest of LA,05-Arkansas,21-Pharmaceuticals,5-Multiple modes & mail,0.0016,0.0015,0.0015,0.0016,0.0017,0.0018,0.0019,0.002,0.0028,0.0027,0.0031,0.0033,0.0031,0.0033,0.0039,0.0035,0.0039,0.0046,0.004,0.0047,0.0053,0.0044,0.0055
229-Rest of LA,06-California,21-Pharmaceuticals,1-Truck,1.2997,1.2339,1.2622,1.2948,1.3647,1.485,1.5434,1.6532,1.9044,1.8779,2.0949,2.3159,2.3084,2.3933,2.8163,2.7378,2.9259,3.4248,3.2487,3.5594,4.1647,3.8474,4.3277
229-Rest of LA,12-Florida,21-Pharmaceuticals,1-Truck,0.0155,0.0147,0.0151,0.0155,0.0163,0.0177,0.0184,0.0198,0.0228,0.0223,0.0251,0.0277,0.0265,0.0283,0.0336,0.0312,0.0341,0.0408,0.0368,0.0417,0.0496,0.0434,0.0504
229-Rest of LA,12-Florida,21-Pharmaceuticals,5-Multiple modes & mail,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003
229-Rest of LA,13-Georgia,21-Pharmaceuticals,1-Truck,0.0004,0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,0.0005,0.0006,0.0006,0.0007,0.0007,0.0007,0.0007,0.0008,0.0007,0.0008,0.0009,0.0008,0.0009,0.001,0.0009,0.001
229-Rest of LA,17-Illinois,21-Pharmaceuticals,1-Truck,0.0449,0.0426,0.0436,0.0447,0.0471,0.0512,0.0533,0.0571,0.067,0.0657,0.0674,0.0814,0.0774,0.0831,0.099,0.0912,0.1001,0.1204,0.1076,0.1222,0.1464,0.1269,0.1492
229-Rest of LA,17-Illinois,21-Pharmaceuticals,5-Multiple modes & mail,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003
229-Rest of LA,18-Indiana,21-Pharmaceuticals,5-Multiple modes & mail,0.0048,0.0046,0.0047,0.0048,0.005,0.0055,0.0057,0.0061,0.0086,0.0085,0.0087,0.0103,0.01,0.0105,0.0123,0.0117,0.0125,0.0146,0.0137,0.0148,0.0172,0.0159,0.0175
229-Rest of LA,19-Iowa,21-Pharmaceuticals,1-Truck,0.3608,0.3425,0.3504,0.3594,0.3788,0.4122,0.4284,0.4589,0.5281,0.526,0.5809,0.6422,0.6176,0.655,0.7809,0.7416,0.7965,0.9497,0.8901,0.9687,1.1548,1.0679,1.1779
229-Rest of LA,21-Kentucky,21-Pharmaceuticals,1-Truck,1.9982,1.897,1.9405,1.9907,2.0981,2.283,2.3728,2.5417,3.5614,3.4804,3.5895,4.2642,3.9803,4.3495,5.0612,4.5661,5.1624,6.0936,5.3237,6.2155,7.2211,6.1106,7.3655
229-Rest of LA,22-Louisiana,21-Pharmaceuticals,1-Truck,5.2816,5.014,5.1291,5.2617,5.5454,6.0342,6.2717,6.7181,8.8444,8.6107,8.9464,10.3042,9.7041,10.4452,11.9811,10.9514,12.2231,13.944,12.3996,14.2851,15.9977,13.8285,16.4659
229-Rest of LA,22-Louisiana,21-Pharmaceuticals,5-Multiple modes & mail,0.0338,0.0321,0.0329,0.0337,0.0355,0.0387,0.0402,0.0431,0.0588,0.0572,0.0594,0.069,0.0639,0.0701,0.0808,0.0725,0.0824,0.0946,0.0825,0.0968,0.1094,0.0925,0.1121
229-Rest of LA,24-Maryland,21-Pharmaceuticals,5-Multiple modes & mail,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002
229-Rest of LA,26-Michigan,21-Pharmaceuticals,1-Truck,0.0296,0.0281,0.0287,0.0294,0.031,0.0338,0.0351,0.0376,0.0501,0.049,0.0551,0.0588,0.0555,0.06,0.069,0.0629,0.0703,0.0806,0.0711,0.0822,0.0947,0.0808,0.0964
229-Rest of LA,26-Michigan,21-Pharmaceuticals,5-Multiple modes & mail,0.0031,0.003,0.003,0.0031,0.0033,0.0036,0.0037,0.004,0.0051,0.005,0.0056,0.0059,0.0056,0.006,0.0068,0.0062,0.0069,0.0078,0.0069,0.008,0.009,0.0078,0.0092
229-Rest of LA,27-Minnesota,21-Pharmaceuticals,1-Truck,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0006,0.0005,0.0006,0.0007,0.0007,0.0007,0.0008,0.0008,0.0008,0.001,0.001,0.001
229-Rest of LA,28-Mississippi,21-Pharmaceuticals,1-Truck,0.1254,0.1191,0.1218,0.125,0.1317,0.1433,0.1489,0.1595,0.2213,0.2204,0.2434,0.2577,0.2551,0.2605,0.2995,0.2966,0.304,0.3486,0.3419,0.3538,0.3999,0.3887,0.4068
229-Rest of LA,28-Mississippi,21-Pharmaceuticals,5-Multiple modes & mail,0.0881,0.0837,0.0856,0.0878,0.0925,0.1007,0.1046,0.1121,0.1555,0.1549,0.171,0.181,0.1792,0.183,0.2104,0.2084,0.2135,0.2449,0.2402,0.2486,0.281,0.2731,0.2858
229-Rest of LA,32-Nevada,21-Pharmaceuticals,5-Multiple modes & mail,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0006,0.0005,0.0006,0.0007,0.0006,0.0008,0.0009,0.0008,0.001
229-Rest of LA,34-New Jersey,21-Pharmaceuticals,1-Truck,0.9996,0.9489,0.9707,0.9958,1.0495,1.142,1.1869,1.2714,1.499,1.4599,1.6489,1.8229,1.704,1.8593,2.2167,1.9839,2.2611,2.6957,2.3112,2.7496,3.2781,2.6905,3.3437
229-Rest of LA,36-New York,21-Pharmaceuticals,1-Truck,0.0596,0.0565,0.0578,0.0593,0.0625,0.0681,0.0707,0.0758,0.089,0.087,0.0896,0.1082,0.1028,0.1104,0.1316,0.1211,0.1342,0.16,0.1429,0.1632,0.1946,0.1687,0.1985
229-Rest of LA,36-New York,21-Pharmaceuticals,5-Multiple modes & mail,0.0091,0.0086,0.0088,0.009,0.0095,0.0104,0.0108,0.0115,0.0135,0.0132,0.0136,0.0165,0.0156,0.0168,0.02,0.0184,0.0204,0.0244,0.0217,0.0248,0.0296,0.0257,0.0302
229-Rest of LA,37-North Carolina,21-Pharmaceuticals,1-Truck,0.0461,0.0438,0.0448,0.0459,0.0484,0.0527,0.0547,0.0586,0.0694,0.068,0.0761,0.0843,0.0797,0.086,0.1024,0.094,0.1045,0.1245,0.1109,0.1269,0.1511,0.1309,0.1542
229-Rest of LA,37-North Carolina,21-Pharmaceuticals,5-Multiple modes & mail,0.0213,0.0203,0.0207,0.0213,0.0224,0.0244,0.0253,0.0271,0.0359,0.0351,0.037,0.0427,0.0403,0.0435,0.0508,0.0464,0.0518,0.0604,0.0536,0.0617,0.0713,0.0613,0.0727
229-Rest of LA,39-Ohio,21-Pharmaceuticals,1-Truck,0.0003,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0006,0.0006,0.0006,0.0007,0.0006,0.0007,0.0008,0.0007,0.0009
229-Rest of LA,39-Ohio,21-Pharmaceuticals,5-Multiple modes & mail,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0005,0.0005,0.0005,0.0005,0.0005,0.0006,0.0006,0.0006,0.0007,0.0008,0.0007,0.0008,0.0009,0.0008,0.0009
229-Rest of LA,40-Oklahoma,21-Pharmaceuticals,1-Truck,0.0531,0.0504,0.0516,0.0529,0.0557,0.0607,0.0631,0.0675,0.0823,0.0821,0.0905,0.0972,0.0949,0.0992,0.1148,0.112,0.1171,0.1357,0.1319,0.1384,0.1592,0.1534,0.1624
229-Rest of LA,40-Oklahoma,21-Pharmaceuticals,5-Multiple modes & mail,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0005,0.0004,0.0005
229-Rest of LA,41-Oregon,21-Pharmaceuticals,1-Truck,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0004,0.0003,0.0004
229-Rest of LA,42-Pennsylvania,21-Pharmaceuticals,5-Multiple modes & mail,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
229-Rest of LA,47-Tennessee,21-Pharmaceuticals,5-Multiple modes & mail,0.1618,0.1536,0.1571,0.1612,0.1699,0.1849,0.1921,0.2058,0.2997,0.2919,0.3018,0.349,0.3268,0.3559,0.4039,0.3621,0.412,0.4679,0.4025,0.4773,0.5337,0.4415,0.5444
229-Rest of LA,48-Texas,21-Pharmaceuticals,1-Truck,2.2869,2.171,2.2209,2.2783,2.4011,2.6128,2.7156,2.9089,3.7406,3.6158,3.7979,4.4985,4.2323,4.5845,5.4045,4.9493,5.5367,6.4971,5.7933,6.6711,7.7424,6.6944,7.9618
229-Rest of LA,48-Texas,21-Pharmaceuticals,5-Multiple modes & mail,0.016,0.0152,0.0155,0.0159,0.0168,0.0183,0.019,0.0203,0.0279,0.0271,0.0282,0.0334,0.0315,0.034,0.0399,0.0366,0.0408,0.0477,0.0426,0.0488,0.0563,0.0488,0.0576
229-Rest of LA,49-Utah,21-Pharmaceuticals,5-Multiple modes & mail,0.6928,0.6577,0.6728,0.6902,0.7274,0.7915,0.8226,0.8812,0.9988,0.9802,1.0062,1.2146,1.1861,1.2259,1.477,1.4173,1.4973,1.7961,1.6922,1.82,2.1842,2.0156,2.2279
229-Rest of LA,51-Virginia,21-Pharmaceuticals,1-Truck,0.0002,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0003,0.0004,0.0004,0.0003,0.0004
229-Rest of LA,51-Virginia,21-Pharmaceuticals,5-Multiple modes & mail,0.3473,0.3297,0.3373,0.346,0.3647,0.3968,0.4124,0.4418,0.5881,0.5722,0.6469,0.6798,0.6215,0.6934,0.7836,0.6826,0.7992,0.9039,0.7523,0.922,1.0276,0.8135,1.0482
230-Maine,01-Alabama,21-Pharmaceuticals,5-Multiple modes & mail,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003
230-Maine,04-Arizona,21-Pharmaceuticals,1-Truck,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
230-Maine,06-California,21-Pharmaceuticals,1-Truck,8.4363,8.0089,8.1928,8.4045,8.8578,9.6385,10.0178,10.7309,13.0555,12.9089,14.3611,15.4359,15.2064,15.7446,19.0602,18.3305,19.4414,23.1492,21.7365,23.6122,27.3665,25.0814,27.8617
230-Maine,06-California,21-Pharmaceuticals,4-Air (include truck-air),0.0198,0.0188,0.0192,0.0197,0.0208,0.0226,0.0235,0.0252,0.0303,0.03,0.0333,0.0358,0.0354,0.0365,0.0442,0.0432,0.045,0.0536,0.0513,0.0547,0.0633,0.0592,0.0646
230-Maine,06-California,21-Pharmaceuticals,5-Multiple modes & mail,0.0017,0.0016,0.0016,0.0017,0.0018,0.0019,0.002,0.0021,0.0026,0.0026,0.0029,0.0031,0.0031,0.0032,0.0038,0.0037,0.0039,0.0046,0.0044,0.0047,0.0055,0.0051,0.0056
230-Maine,09-Connecticut,21-Pharmaceuticals,5-Multiple modes & mail,0.0054,0.0051,0.0052,0.0053,0.0056,0.0061,0.0064,0.0068,0.0082,0.008,0.0091,0.0091,0.0086,0.0092,0.0104,0.0095,0.0106,0.0121,0.0106,0.0123,0.0133,0.0112,0.0135
230-Maine,10-Delaware,21-Pharmaceuticals,5-Multiple modes & mail,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003,0.0004,0.0003,0.0004
230-Maine,12-Florida,21-Pharmaceuticals,4-Air (include truck-air),0.1264,0.12,0.1228,0.126,0.1327,0.1444,0.1501,0.1608,0.2038,0.1995,0.2242,0.2336,0.2233,0.2383,0.2804,0.2599,0.286,0.3372,0.3038,0.344,0.385,0.3371,0.3858
230-Maine,12-Florida,21-Pharmaceuticals,5-Multiple modes & mail,0.0381,0.0362,0.037,0.038,0.04,0.0436,0.0453,0.0485,0.0612,0.0599,0.0674,0.0701,0.067,0.0715,0.0841,0.0779,0.0858,0.1011,0.091,0.1031,0.1153,0.1009,0.1155
230-Maine,13-Georgia,21-Pharmaceuticals,1-Truck,0.0172,0.0163,0.0167,0.0171,0.0181,0.0197,0.0204,0.0219,0.028,0.0273,0.0308,0.0317,0.0298,0.0323,0.0376,0.0341,0.0384,0.0448,0.0391,0.0457,0.0507,0.0426,0.0517
230-Maine,13-Georgia,21-Pharmaceuticals,4-Air (include truck-air),0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0006,0.0007,0.0007,0.0008,0.0008,0.0007,0.0008,0.0009,0.0008,0.0009,0.0011,0.0009,0.0011,0.0012,0.001,0.0012
230-Maine,13-Georgia,21-Pharmaceuticals,5-Multiple modes & mail,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
230-Maine,17-Illinois,21-Pharmaceuticals,4-Air (include truck-air),0.0331,0.0314,0.0321,0.033,0.0347,0.0378,0.0393,0.0421,0.0553,0.0542,0.0608,0.0635,0.0603,0.0647,0.0763,0.0703,0.0778,0.0918,0.082,0.0936,0.1049,0.0909,0.1053
230-Maine,17-Illinois,21-Pharmaceuticals,5-Multiple modes & mail,0.072,0.0683,0.0699,0.0717,0.0756,0.0822,0.0855,0.0915,0.1208,0.1184,0.1329,0.1389,0.132,0.1417,0.1672,0.154,0.1705,0.2015,0.1801,0.2056,0.2306,0.1999,0.2315
230-Maine,18-Indiana,21-Pharmaceuticals,5-Multiple modes & mail,0.0009,0.0009,0.0009,0.0009,0.001,0.0011,0.0011,0.0012,0.0015,0.0015,0.0016,0.0016,0.0016,0.0017,0.0019,0.0018,0.002,0.0022,0.002,0.0023,0.0025,0.0022,0.0025
230-Maine,19-Iowa,21-Pharmaceuticals,4-Air (include truck-air),0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004
230-Maine,21-Kentucky,21-Pharmaceuticals,1-Truck,0.121,0.1149,0.1175,0.1205,0.1271,0.1382,0.1437,0.1539,0.1938,0.1894,0.2132,0.2195,0.2049,0.2239,0.2586,0.2333,0.2637,0.3093,0.2702,0.3154,0.3511,0.2971,0.3582
230-Maine,22-Louisiana,21-Pharmaceuticals,4-Air (include truck-air),0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
230-Maine,23-Maine,21-Pharmaceuticals,1-Truck,4.1768,3.9651,4.0562,4.161,4.3854,4.772,4.9597,5.3128,6.9881,6.9397,7.6869,8.0226,7.8799,8.1831,9.6125,9.3375,9.8047,11.5301,11.1064,11.7607,13.1633,12.5971,13.2005
230-Maine,23-Maine,21-Pharmaceuticals,5-Multiple modes & mail,0.994,0.9436,0.9653,0.9902,1.0436,1.1356,1.1803,1.2643,1.663,1.6515,1.8293,1.9092,1.8752,1.9474,2.2875,2.2221,2.3333,2.7439,2.6431,2.7988,3.1326,2.9978,3.1414
230-Maine,24-Maryland,21-Pharmaceuticals,4-Air (include truck-air),0.0003,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0005,0.0005,0.0005,0.0005,0.0006,0.0005,0.0006,0.0007,0.0006,0.0007,0.0008,0.0007,0.0008
230-Maine,24-Maryland,21-Pharmaceuticals,5-Multiple modes & mail,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003,0.0004,0.0003,0.0004
230-Maine,25-Massachusetts,21-Pharmaceuticals,1-Truck,0.0149,0.0142,0.0145,0.0149,0.0157,0.017,0.0177,0.019,0.0236,0.0234,0.0259,0.0278,0.0271,0.0284,0.0343,0.0327,0.035,0.0417,0.0389,0.0425,0.0492,0.0449,0.0499
230-Maine,25-Massachusetts,21-Pharmaceuticals,5-Multiple modes & mail,1.1132,1.0568,1.0811,1.109,1.1688,1.2718,1.3219,1.416,1.7576,1.7419,1.9334,2.0635,2.0088,2.1048,2.5338,2.4167,2.5845,3.0649,2.8622,3.1262,3.6023,3.2906,3.6524
230-Maine,26-Michigan,21-Pharmaceuticals,4-Air (include truck-air),0.0142,0.0135,0.0138,0.0142,0.0149,0.0162,0.0169,0.0181,0.021,0.0206,0.0231,0.0229,0.0217,0.0234,0.0262,0.024,0.0268,0.03,0.0266,0.0306,0.0331,0.0285,0.0337
230-Maine,27-Minnesota,21-Pharmaceuticals,1-Truck,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0005,0.0004,0.0005,0.0005,0.0005,0.0006
230-Maine,27-Minnesota,21-Pharmaceuticals,4-Air (include truck-air),0.0015,0.0014,0.0014,0.0015,0.0015,0.0017,0.0017,0.0019,0.0021,0.002,0.0023,0.0025,0.0025,0.0026,0.003,0.003,0.0031,0.0037,0.0036,0.0038,0.0045,0.0043,0.0046
230-Maine,28-Mississippi,21-Pharmaceuticals,5-Multiple modes & mail,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
230-Maine,29-Missouri,21-Pharmaceuticals,4-Air (include truck-air),0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0006,0.0006,0.0006,0.0007,0.0006,0.0007
230-Maine,31-Nebraska,21-Pharmaceuticals,1-Truck,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0006,0.0005,0.0006,0.0006,0.0006,0.0007
230-Maine,31-Nebraska,21-Pharmaceuticals,4-Air (include truck-air),0.0395,0.0375,0.0383,0.0393,0.0414,0.0451,0.0468,0.0502,0.0622,0.0616,0.0684,0.0701,0.0666,0.0715,0.0826,0.0776,0.0843,0.0976,0.0905,0.0996,0.1097,0.1004,0.1119
230-Maine,33-New Hampshire,21-Pharmaceuticals,1-Truck,0.3951,0.3751,0.3837,0.3937,0.4149,0.4515,0.4692,0.5026,0.6634,0.6628,0.7297,0.7259,0.7116,0.7404,0.8439,0.8161,0.8607,0.9546,0.9114,0.9737,1.0897,1.0265,1.1115
230-Maine,33-New Hampshire,21-Pharmaceuticals,5-Multiple modes & mail,0.0562,0.0533,0.0546,0.056,0.059,0.0642,0.0667,0.0715,0.0942,0.0941,0.1036,0.1019,0.0999,0.1039,0.1174,0.1135,0.1197,0.1306,0.1247,0.1332,0.149,0.1403,0.1519
230-Maine,34-New Jersey,21-Pharmaceuticals,1-Truck,0.1711,0.1624,0.1662,0.1705,0.1797,0.1955,0.2032,0.2176,0.2887,0.2812,0.3176,0.3333,0.3116,0.34,0.4022,0.36,0.4102,0.4854,0.4162,0.4951,0.5581,0.458,0.5692
230-Maine,34-New Jersey,21-Pharmaceuticals,5-Multiple modes & mail,0.0144,0.0136,0.0139,0.0143,0.0151,0.0164,0.017,0.0183,0.0242,0.0236,0.0266,0.028,0.0261,0.0285,0.0337,0.0302,0.0344,0.0407,0.0349,0.0415,0.0468,0.0384,0.0478
230-Maine,36-New York,21-Pharmaceuticals,4-Air (include truck-air),0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002
230-Maine,36-New York,21-Pharmaceuticals,5-Multiple modes & mail,0.0032,0.0031,0.0031,0.0032,0.0034,0.0037,0.0038,0.0041,0.0053,0.0052,0.0058,0.006,0.0056,0.0061,0.0071,0.0065,0.0073,0.0085,0.0074,0.0087,0.0096,0.0081,0.0096
230-Maine,37-North Carolina,21-Pharmaceuticals,1-Truck,47.7813,45.3605,46.4018,47.601,50.1683,54.5902,56.7382,60.7769,82.2609,80.4446,90.487,94.7287,88.9866,96.6233,113.367,103.1235,115.6343,135.9153,119.8341,138.6336,155.5566,132.884,158.6678
230-Maine,37-North Carolina,21-Pharmaceuticals,4-Air (include truck-air),0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0006,0.0005,0.0006,0.0007,0.0006,0.0007
230-Maine,39-Ohio,21-Pharmaceuticals,5-Multiple modes & mail,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0006,0.0006,0.0006,0.0007,0.0007,0.0008,0.0008,0.0007,0.0008
230-Maine,40-Oklahoma,21-Pharmaceuticals,4-Air (include truck-air),0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
230-Maine,41-Oregon,21-Pharmaceuticals,4-Air (include truck-air),0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0006,0.0006,0.0006,0.0007,0.0006,0.0007
230-Maine,42-Pennsylvania,21-Pharmaceuticals,1-Truck,0.0023,0.0021,0.0022,0.0022,0.0024,0.0026,0.0027,0.0029,0.0036,0.0036,0.004,0.0041,0.0039,0.0042,0.0048,0.0044,0.0049,0.0056,0.005,0.0057,0.0063,0.0055,0.0064
230-Maine,42-Pennsylvania,21-Pharmaceuticals,4-Air (include truck-air),0.0015,0.0014,0.0014,0.0015,0.0015,0.0017,0.0017,0.0019,0.0023,0.0023,0.0026,0.0026,0.0025,0.0027,0.0031,0.0029,0.0032,0.0037,0.0033,0.0037,0.0041,0.0036,0.0042
230-Maine,42-Pennsylvania,21-Pharmaceuticals,5-Multiple modes & mail,0.503,0.4776,0.4885,0.5011,0.5282,0.5747,0.5973,0.6399,0.8522,0.834,0.9375,0.9832,0.9343,1.0029,1.1835,1.0842,1.2072,1.4234,1.2582,1.4519,1.6378,1.3967,1.6565
230-Maine,44-Rhode Island,21-Pharmaceuticals,5-Multiple modes & mail,0.0588,0.0558,0.0571,0.0586,0.0617,0.0672,0.0698,0.0748,0.1003,0.0987,0.1103,0.1144,0.1091,0.1167,0.1366,0.1262,0.1394,0.1635,0.1467,0.1667,0.1861,0.1624,0.1869
230-Maine,46-South Dakota,21-Pharmaceuticals,4-Air (include truck-air),0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
230-Maine,47-Tennessee,21-Pharmaceuticals,4-Air (include truck-air),0.0016,0.0015,0.0016,0.0016,0.0017,0.0019,0.0019,0.0021,0.0027,0.0027,0.003,0.0031,0.003,0.0032,0.0037,0.0035,0.0038,0.0045,0.004,0.0045,0.0051,0.0045,0.0052
230-Maine,47-Tennessee,21-Pharmaceuticals,5-Multiple modes & mail,0.0016,0.0015,0.0015,0.0016,0.0017,0.0018,0.0019,0.002,0.0027,0.0026,0.0029,0.003,0.0029,0.0031,0.0036,0.0034,0.0037,0.0043,0.0039,0.0044,0.0049,0.0044,0.005
230-Maine,48-Texas,21-Pharmaceuticals,1-Truck,0.5021,0.4766,0.4876,0.5002,0.5271,0.5736,0.5962,0.6386,0.7677,0.7388,0.8445,0.8477,0.7982,0.8646,0.9795,0.8985,0.9991,1.134,1.0127,1.1567,1.2477,1.079,1.2718
230-Maine,48-Texas,21-Pharmaceuticals,4-Air (include truck-air),0.0065,0.0061,0.0063,0.0065,0.0068,0.0074,0.0077,0.0082,0.0105,0.0102,0.0116,0.0122,0.0115,0.0124,0.0147,0.0135,0.015,0.0178,0.0158,0.0181,0.0204,0.0176,0.0208
230-Maine,48-Texas,21-Pharmaceuticals,5-Multiple modes & mail,0.4762,0.4521,0.4625,0.4744,0.5,0.5441,0.5655,0.6057,0.7797,0.7488,0.8576,0.8977,0.8408,0.9156,1.0816,0.9866,1.1033,1.305,1.1583,1.3311,1.4937,1.2829,1.5281
